bin,lower,upper,count,accuracy,confidence,gap,stage
1,0.0,0.10000000149011612,0,,,,before
2,0.10000000149011612,0.20000000298023224,4,0.5,0.1859978437423706,0.3140021562576294,before
3,0.20000000298023224,0.30000001192092896,47,0.38297873735427856,0.2719762921333313,0.11100244522094727,before
4,0.30000001192092896,0.4000000059604645,197,0.32487308979034424,0.3530248999595642,0.02815181016921997,before
5,0.4000000059604645,0.5,354,0.49152541160583496,0.4535197913646698,0.03800562024116516,before
6,0.5,0.6000000238418579,362,0.5359116196632385,0.5492132306098938,0.013301610946655273,before
7,0.6000000238418579,0.699999988079071,301,0.6777408719062805,0.6511581540107727,0.026582717895507812,before
8,0.699999988079071,0.800000011920929,325,0.7599999904632568,0.7491582036018372,0.010841786861419678,before
9,0.800000011920929,0.8999999761581421,441,0.8707482814788818,0.854912519454956,0.01583576202392578,before
10,0.8999999761581421,1.0,7385,0.995396077632904,0.9741162657737732,0.02127981185913086,before
1,0.0,0.10000000149011612,0,,,,after
2,0.10000000149011612,0.20000000298023224,1,1.0,0.17774897813796997,0.82225102186203,after
3,0.20000000298023224,0.30000001192092896,27,0.3333333432674408,0.272046834230423,0.06128650903701782,after
4,0.30000001192092896,0.4000000059604645,138,0.28985506296157837,0.35943663120269775,0.06958156824111938,after
5,0.4000000059604645,0.5,239,0.4435146450996399,0.45675352215766907,0.013238877058029175,after
6,0.5,0.6000000238418579,334,0.5089820623397827,0.5493176579475403,0.04033559560775757,after
7,0.6000000238418579,0.699999988079071,285,0.6000000238418579,0.6489011645317078,0.048901140689849854,after
8,0.699999988079071,0.800000011920929,285,0.6526315808296204,0.7524974942207336,0.09986591339111328,after
9,0.800000011920929,0.8999999761581421,375,0.800000011920929,0.8514177203178406,0.05141770839691162,after
10,0.8999999761581421,1.0,7732,0.9900413751602173,0.9892463088035583,0.0007950663566589355,after
